iter	Passed	Remaining
0	1	172
1	4	199
2	6	198
3	7	191
4	10	193
5	12	191
6	14	192
7	15	183
8	17	176
9	18	168
10	20	165
11	21	159
12	23	158
13	25	157
14	27	156
15	29	153
16	31	153
17	33	151
18	34	148
19	36	146
20	38	144
21	39	140
22	41	138
23	42	135
24	44	133
25	45	130
26	47	127
27	49	126
28	50	124
29	52	122
30	54	120
31	55	117
32	56	114
33	57	111
34	58	107
35	59	105
36	60	103
37	61	100
38	62	97
39	63	95
40	64	93
41	65	90
42	66	88
43	67	86
44	69	84
45	70	82
46	71	80
47	72	79
48	73	76
49	74	74
50	75	72
51	76	70
52	78	69
53	79	67
54	79	65
55	80	63
56	81	61
57	82	60
58	84	58
59	85	56
60	86	55
61	87	53
62	88	52
63	89	50
64	90	48
65	92	47
66	93	45
67	94	44
68	95	42
69	96	41
70	97	39
71	98	38
72	100	37
73	101	35
74	102	34
75	103	32
76	104	31
77	105	29
78	106	28
79	108	27
80	109	25
81	109	24
82	111	22
83	112	21
84	113	20
85	114	18
86	116	17
87	117	15
88	118	14
89	119	13
90	120	11
91	121	10
92	123	9
93	124	7
94	125	6
95	126	5
96	127	3
97	128	2
98	130	1
99	131	0
